pmc_ID,accession
PMC2758888,GSE17929
PMC2758888,GSE17929
PMC5240207,GSE69038
PMC5240207,GSE69038
PMC1831778,GSE3965
PMC2194693,GSE9391
PMC2204004,GSE6678
PMC2216081,GSE6904
PMC2245955,GSE9744
PMC2677396,GSE7139
PMC2736963,GSE11334
PMC2377268,GSE11139
PMC2377268,GSE11139
PMC2377268,GSE11139
PMC2396630,GSE10291
PMC2518924,GSE8307
PMC2518924,GSE8307
PMC3040714,GSE9566
PMC3040714,GSE2882
PMC4635574,GSE62760
PMC4635574,GSE62760
PMC2733140,GSE13166
PMC3032748,GSE25342
PMC3121619,GSE24629
PMC3464170,GSE13564
PMC2567987,GSE2378
PMC2567987,GSE758
PMC2727955,GSE17117
PMC2727955,GSE17117
PMC2894843,GSE20907
PMC2894843,GSE20907
PMC2894843,GSE20907
PMC2939656,GSE20949
PMC3175199,GSE29669
PMC3441342,GSE29885
PMC3576285,GSE41821
PMC3751855,GDS1331
PMC3751855,GDS1332
PMC3751855,GDS2887
PMC3751855,GDS1331
PMC3751855,GDS1332
PMC3849476,GSE17612
PMC3849476,GSE21138
PMC3849476,GSE17612
PMC3840590,GSE27492
PMC3840590,GSE27492
PMC3840590,GSE43627
PMC3840590,GSE43627
PMC3840590,GSE22371
PMC3840590,GSE22371
PMC3840590,GSE33619
PMC3840590,GSE33619
PMC3724485,GSE42676
PMC3717020,GSE7905
PMC3717020,GSE7905
PMC3735397,GSE37476
PMC3735397,GSE37476
PMC3735397,GSE37476
PMC3937001,GSE53430
PMC3941971,GDS1490
PMC3941971,GDS1490
PMC3973933,GSE48911
PMC4027996,GSE42770
PMC4050392,GSE42676
PMC4560885,GSE71579
PMC5381047,SRA027300
PMC5381047,GSM881059
PMC5381047,GSM881134
PMC5381047,GSM881114
PMC5381047,GSM881079
PMC5381047,GSM881162
PMC5381047,GSM881150
PMC5381047,GSM881154
PMC5381047,SRA027300
PMC5381047,GSM912922
PMC5381047,SRA027300
PMC5381047,GSE78281
PMC5559865,GSE81461
PMC5998904,SRP035524
PMC5998904,SRP035524
PMC6053765,GSE106820
