pmc,repoIDcount
PMC4460634,6
PMC4546048,7
PMC5237151,12
PMC5001582,2
PMC3112146,2
PMC3597673,8
PMC3575792,2
PMC4132698,4
PMC3973313,3
PMC4132755,2
PMC4908337,5
PMC2944782,78
PMC2831844,2
PMC3446278,10
PMC4619324,3
PMC4784276,29
PMC5291264,4
PMC4168981,7
PMC3298476,2
PMC2761903,16
PMC4046673,64
PMC4340671,2
PMC3620544,3
PMC4287496,3
PMC4373061,10
PMC4964316,2
PMC2823686,1
PMC3837635,2
PMC3403611,2
PMC2967563,1
PMC2943622,12
PMC2944782,78
PMC2717951,45
PMC2717951,45
PMC3203354,24
PMC4144122,6
PMC4262117,33
PMC3616870,9
PMC4035072,3
PMC3853211,1
PMC4029569,3
PMC3237928,2
PMC3412164,14
PMC3431293,36
PMC3847874,2
PMC3581797,12
PMC4141116,4
PMC4261523,3
PMC4377852,12
PMC5481992,2
PMC3632110,7
PMC3521215,5
PMC3506907,2
PMC4196045,3
PMC4168981,7
PMC4965733,10
PMC2978365,3
PMC4347618,2
PMC4347619,2
PMC4376348,6
PMC4330344,5
PMC4702803,14
PMC4856318,5
PMC3734169,6
PMC5112689,2
PMC4869178,19
PMC4373061,10
PMC4046763,7
PMC4168981,7
PMC4448317,3
PMC4433130,14
PMC2527336,5
PMC2689196,7
PMC2734555,6
PMC2762059,1
PMC2838864,4
PMC2863163,8
PMC2887810,5
PMC2822536,7
PMC2822537,6
PMC2996978,3
PMC2946304,5
PMC2990745,2
PMC3073183,10
PMC3247082,4
PMC3314566,10
PMC3436770,6
PMC3580410,8
PMC3446278,10
PMC3598775,7
PMC3721986,8
PMC3852209,4
PMC3848818,6
PMC3794588,1
PMC4269079,6
PMC4168973,5
PMC4769543,6
PMC5001235,2
PMC5009750,2
PMC4227138,7
PMC5124223,7
PMC3499383,30
PMC3443069,21
PMC4618947,31
PMC4914126,20
PMC5427619,24
PMC4784276,29
PMC4902951,9
PMC3499383,30
PMC3420919,5
PMC3524312,1
PMC3877965,6
PMC4083401,7
PMC2875241,5
PMC4702803,14
PMC3852103,4
PMC3750472,8
PMC4373061,10
PMC3481433,2
PMC3645958,6
PMC3751090,24
PMC3737526,3
PMC4269079,6
PMC4551945,3
PMC4618947,31
PMC5210615,21
PMC5264486,15
PMC5336655,2
PMC5427619,24
PMC5427619,24
PMC4975902,6
PMC3053262,3
PMC4363349,10
PMC4051163,18
PMC3591264,5
PMC4028079,3
PMC3880044,2
PMC4262117,33
PMC4345017,3
PMC4331711,1
PMC4702803,14
PMC3721986,8
PMC3236847,23
PMC3443069,21
PMC3521215,5
PMC4290683,2
PMC4062047,12
PMC4618947,31
PMC4547403,8
PMC4853852,12
PMC4914126,20
PMC4584010,3
PMC4132753,4
PMC2922198,3
PMC4269079,6
PMC3521227,11
PMC5259853,1
PMC5427619,24
PMC4246458,1
PMC3025565,4
PMC3315713,3
PMC2788368,2
PMC3930826,3
PMC1450310,2
PMC3924405,2
PMC3582489,1
PMC4053733,11
PMC3890500,2
PMC3575819,3
PMC4028873,1
PMC4599317,5
PMC4919894,3
PMC4980791,12
PMC4719699,5
PMC5648503,2
PMC5366155,4
PMC3844597,3
PMC4018771,8
PMC4357728,20
PMC3491416,5
PMC3706752,4
PMC5261565,2
PMC4965733,10
PMC3610271,3
PMC3269833,2
PMC3443452,11
PMC4449974,1
PMC4433130,14
PMC4864913,2
PMC5237151,12
PMC5237151,12
PMC3082249,3
PMC3610271,3
PMC3844401,1
PMC4702803,14
PMC4787753,15
PMC4856961,27
PMC4836068,2
PMC4857420,5
PMC4900897,2
PMC5513182,1
PMC5345243,26
PMC3192815,2
PMC2680807,14
PMC3556652,5
PMC3799430,4
PMC4512094,18
PMC5009532,7
PMC5310278,10
PMC2926781,3
PMC3401470,3
PMC2944782,78
PMC3314564,1
PMC3491423,8
PMC3431293,36
PMC3633028,1
PMC4095004,1
PMC4290621,4
PMC3737560,3
PMC3597546,4
PMC4227755,9
PMC4632369,4
PMC4682396,5
PMC4357735,3
PMC4666378,2
PMC5025614,1
PMC4824118,21
PMC5389550,2
PMC3386155,5
PMC4213475,8
PMC3013750,12
PMC4914117,7
PMC3025572,20
PMC2726785,2
PMC3296574,1
PMC4234997,1
PMC3056741,1
PMC1475850,32
PMC2435556,9
PMC2975422,18
PMC2944782,78
PMC3400575,7
PMC3236847,23
PMC3443069,21
PMC3443452,11
PMC3431293,36
PMC4062047,12
PMC4168981,7
PMC4618947,31
PMC4547403,8
PMC4914126,20
PMC5210615,21
PMC3568710,6
PMC3209474,2
PMC3556494,1
PMC3203610,4
PMC3751341,3
PMC4357728,20
PMC2944782,78
PMC3412164,14
PMC3394300,4
PMC3439932,2
PMC3814376,1
PMC5449599,1
PMC2944782,78
PMC4618947,31
PMC5427619,24
PMC3236061,1
PMC3750472,8
PMC4373061,10
PMC3750472,8
PMC4373061,10
PMC3750472,8
PMC4373061,10
PMC3750472,8
PMC4373061,10
PMC5240434,6
PMC3680018,9
PMC3680018,9
PMC3129592,3
PMC3685601,1
PMC3394341,13
PMC3491412,12
PMC3458527,3
PMC3734162,2
PMC4702803,14
PMC3534338,2
PMC3427045,5
PMC3682895,14
PMC3427045,5
PMC3750472,8
PMC4373061,10
PMC4836190,3
PMC4784276,29
PMC4608100,3
PMC2833160,2
PMC3439920,4
PMC4824118,21
PMC2833160,2
PMC5046977,11
PMC4147902,12
PMC5424422,2
PMC3491371,5
PMC3237928,2
PMC3446278,10
PMC4261523,3
PMC4377852,12
PMC2926781,3
PMC3446318,13
PMC4895727,2
PMC4049504,5
PMC3333181,2
PMC3521209,1
PMC4448317,3
PMC3568710,6
PMC3431293,36
PMC3890500,2
PMC4082612,5
PMC4165360,5
PMC3626856,5
PMC3721986,8
PMC3431293,36
PMC3749952,26
PMC4258300,3
PMC3663113,5
PMC3597655,6
PMC4177668,5
PMC4512094,18
PMC3025572,20
PMC4066761,7
PMC5154163,10
PMC4375924,2
PMC4815201,3
PMC5100587,2
PMC3495651,3
PMC2958743,4
PMC3439884,1
PMC2944782,78
PMC3132170,1
PMC3460730,3
PMC3479194,1
PMC3320577,1
PMC3643598,2
PMC3737527,1
PMC4443654,3
PMC4574526,17
PMC4774023,3
PMC5387268,2
PMC4158063,2
PMC3798758,3
PMC5324221,5
PMC4082612,5
PMC4165360,5
PMC4546048,7
PMC5237151,12
PMC3616870,9
PMC2853524,1
PMC3223864,16
PMC3224234,5
PMC3521215,5
PMC4877997,14
PMC4784276,29
PMC4902951,9
PMC3909937,2
PMC4046673,64
PMC5288875,3
PMC3333884,7
PMC4347619,2
PMC2944782,78
PMC2717951,45
PMC2944782,78
PMC3219569,3
PMC4374500,4
PMC5374559,5
PMC5499583,7
PMC2965384,3
PMC4869178,19
PMC3491371,5
PMC3431293,36
PMC3645958,6
PMC3997969,10
PMC4618947,31
PMC4674855,14
PMC5001231,2
PMC4914126,20
PMC4342825,19
PMC3431293,36
PMC3651355,1
PMC4234496,1
PMC3964976,12
PMC4636788,1
PMC4574526,17
PMC3329404,1
PMC3620544,3
