pmc,repoIDcount
PMC4834207,2
PMC4801060,26
PMC4734686,4
PMC5433054,2
PMC6565949,3
PMC4125147,6
PMC5576492,6
PMC6096938,9
PMC4125147,6
PMC5576492,6
PMC6096938,9
PMC3446317,2
PMC3510034,5
PMC4547845,27
PMC4714477,7
PMC3599513,4
PMC4962977,1
PMC5460193,7
PMC4333369,3
PMC3331945,2
PMC5429541,5
PMC4331710,25
PMC4583175,3
PMC4536249,11
PMC5395770,6
PMC5498617,3
PMC6427689,4
PMC5469772,1
PMC5913670,30
PMC4018662,2
PMC4380333,1
PMC4622223,1233
PMC6096938,9
PMC6421351,3
PMC4263165,2
PMC3783371,1
PMC5737955,2
PMC6448531,2
PMC5567354,1
PMC4830524,3
PMC4682520,1
PMC4414376,15
PMC3680226,1
PMC4221889,1
PMC3821645,2
PMC3398145,2
PMC5094491,46
PMC4908657,4
PMC4442510,1
PMC5686732,1
PMC3531187,4
PMC3965037,2
PMC4581423,2
PMC4357290,1
PMC5562415,2
PMC5989392,2
PMC3999986,1
PMC4156652,3
PMC4201588,4
PMC5862335,8
PMC5568602,3
PMC5627533,5
PMC6157028,1
PMC6167371,3
PMC5552915,9
PMC4515014,3
PMC4384740,2
PMC4396363,4
PMC4504505,2
PMC6092779,51
PMC5877491,3
PMC5320584,13
PMC5400096,1
PMC6412058,9
PMC4192283,1
PMC6355021,13
PMC3298514,1
PMC4952062,1
PMC5395770,6
PMC5498617,3
PMC6427689,4
PMC4062476,3
PMC4079600,3
PMC4708002,3
PMC4333248,2
PMC4652746,5
PMC4652904,5
PMC4895015,4
PMC5374687,2
PMC5719570,6
PMC5706003,1
PMC6335342,6
PMC6283451,3
PMC6357354,1
PMC3965037,2
PMC4538813,2
PMC5129537,1
PMC5889714,2
PMC4652904,5
PMC5979757,6
PMC5068858,3
PMC6589550,2
PMC5282885,1
PMC6182085,1
PMC6482567,1
PMC6331034,1
PMC3628982,1
PMC5343136,10
PMC4070552,1
PMC4764585,18
PMC4879514,3
PMC3531187,4
PMC4048363,3
PMC4301745,6
PMC6142364,63
PMC4163665,2
PMC5251313,9
PMC5496257,9
PMC5251313,9
PMC5496257,9
PMC4117515,3
PMC4643978,11
PMC5801106,21
PMC3669295,2
PMC4060040,5
PMC5801106,21
PMC5801106,21
PMC5801106,21
PMC5792739,4
PMC5726470,5
PMC5726470,5
PMC5726470,5
PMC4774407,1
PMC5059462,1
PMC5033494,3
PMC5362764,2
PMC4030574,2
PMC4223161,1
PMC4262987,2
PMC4166679,11
PMC4066953,8
PMC4558774,6
PMC4643978,11
PMC4938208,36
PMC5786717,1
PMC5569047,13
PMC4702853,3
PMC5488378,1
PMC5531098,14
PMC5737865,5
PMC5804319,1
PMC6457071,1
PMC5740403,4
PMC5732303,1
PMC4449272,1
PMC5024993,33
PMC5017757,3
PMC5805770,6
PMC4053821,1
PMC3890517,1
PMC4815627,6
PMC4245187,1
PMC4225517,1
PMC4328970,3
PMC4413995,1
PMC4812450,1
PMC5043315,1
PMC4700453,3
PMC4726066,2
PMC5632314,7
PMC6304688,1
PMC6346729,3
PMC6007440,3
PMC6436083,4
PMC6491599,1
PMC3842243,3
PMC4912120,5
PMC5135041,2
PMC6039308,1
PMC5910815,3
PMC5910815,3
PMC4788253,2
PMC3946582,4
PMC4618149,4
PMC4166679,11
PMC4643978,11
PMC4574606,2
PMC6019030,2
PMC5025529,3
PMC5539102,2
PMC6007662,6
PMC6317812,3
PMC5834625,1
PMC4412109,4
PMC4769179,4
PMC5004121,23
PMC4992282,1
PMC5607848,1
PMC4244156,1
PMC4795618,1
PMC4589466,2
PMC4504710,2
PMC4715349,1
PMC5009668,1
PMC5135796,4
PMC4735694,1
PMC5009736,2
PMC5025152,1
PMC5085092,1
PMC5024993,33
PMC5451431,2
PMC6598670,1
PMC4556158,2
PMC4643905,2
PMC4510569,2
PMC4746890,1
PMC5665958,4
PMC6168169,3
PMC5027095,2
PMC4003853,1
PMC4976967,3
PMC5741965,2
PMC5214373,1
PMC6335273,2
PMC5098600,2
PMC6330062,3
PMC5407242,2
PMC4163665,2
PMC5665958,4
PMC4073507,1
PMC5499805,1
PMC6414783,2
PMC6298776,2
PMC4581417,3
PMC4272516,140
PMC4109783,2
PMC4542784,3
PMC4581417,3
PMC5240625,3
PMC4298962,1
PMC4199492,1
PMC4756455,1
PMC4866541,6
PMC4866541,6
PMC4769579,2
PMC5176112,3
PMC5419486,1
PMC5739039,1
PMC5039584,1
PMC4804616,8
PMC4681099,7
PMC4610706,3
PMC5943621,3
PMC4213012,5
PMC5846777,3
PMC5024993,33
PMC5435966,6
PMC4532461,3
PMC4866541,6
PMC4866541,6
PMC4166679,11
PMC4066953,8
PMC4643978,11
PMC6440112,5
PMC4358728,4
PMC4453057,13
PMC4036795,1
PMC3983147,8
PMC6563668,11
PMC6531461,2
PMC4681099,7
PMC6594340,1
PMC4901439,6
PMC5740500,7
PMC5427905,4
PMC5896118,2
PMC5872580,12
PMC6292014,11
PMC4793798,1
PMC5069754,6
PMC5637252,2
PMC4938670,1
PMC5577775,7
PMC5913325,5
PMC5737375,4
PMC4703202,3
PMC4482049,5
PMC5511167,6
PMC5974169,1
PMC6182137,24
PMC5980091,1
PMC4334544,1
PMC4811048,73
PMC4011697,1
PMC5569047,13
PMC6412054,2
PMC4485834,2
PMC4496000,2
PMC4690421,7
PMC4355351,1
PMC5031697,4
PMC5124604,4
PMC4844157,3
PMC5966885,4
PMC6097286,3
PMC6182137,24
PMC5444614,2
PMC6199469,2
PMC6367392,2
PMC6627930,7
PMC6424576,6
PMC6491826,2
PMC6558107,2
PMC6410271,2
PMC6399450,1
PMC5031890,1
PMC5496257,9
PMC5856367,10
PMC5530561,2
PMC5501583,2
PMC5943621,3
PMC6315199,1
PMC6446249,10
PMC6122123,4
PMC6158511,2
PMC4888531,1
PMC4902290,1
PMC6440462,2
PMC6597035,2
PMC5241214,1
PMC5036307,5
PMC4731918,2
PMC5816355,4
PMC6532659,2
PMC5036307,5
PMC4731918,2
PMC5816355,4
PMC6532659,2
PMC5818005,12
PMC5576917,7
PMC5780764,6
PMC4919544,2
