journal,pmc_ID,converted_accession,species
PLoS_Comput_Biol,PMC6709889,GSE129353,Mus musculus
PLoS_Genet,PMC4825975,GSE75077,Mus musculus
PLoS_One,PMC3283632,GSE28622,Mus musculus
Brain,PMC4572488,GSE64398,Mus musculus
J_Neuroinflammation,PMC6874825,GSE133617,Mus musculus
BMC_Genomics,PMC5923031,SRP124637,Mus musculus
Nat_Biotechnol,PMC4900897,GSE72857,Mus musculus
eLife,PMC6844645,GSE128643,Mus musculus
Mol_Vis,PMC4225139,SRP040480,Mus musculus
EMBO_Mol_Med,PMC5125832,SRP065021,Mus musculus
Epigenetics_Chromatin,PMC6567924,GSE125447,Mus musculus
PLoS_One,PMC4123906,GSE55986,Mus musculus
Cell_Metab,PMC6370974,SRP151275,Mus musculus
Sci_Rep,PMC5517430,GSE89430,Mus musculus
Front_Immunol,PMC5840283,SRP068621,Mus musculus
Sci_Rep,PMC5517430,GSE87519,Mus musculus
PLoS_One,PMC4446323,GSE64668,Mus musculus
Sci_Rep,PMC4297951,GSE58306,Mus musculus
Protein_Cell,PMC7026249,GSE55600,Mus musculus
J_Invest_Dermatol,PMC4874948,GSE76751,Mus musculus
Genom_Data,PMC4535867,GSE49469,Mus musculus
Nucleic_Acids_Res,PMC5210591,GSE79815,Mus musculus
Nat_Commun,PMC6889384,GSE132402,Mus musculus
PLoS_One,PMC4331523,GSE55746,Mus musculus
eLife,PMC4721963,GSE70658,Mus musculus
Leukemia,PMC5843897,GSE79068,Mus musculus
PLoS_Genet,PMC6917213,SRP155931,Mus musculus
Nat_Immunol,PMC5247321,GSE84238,Mus musculus
PLoS_One,PMC3071830,GSE24207,Mus musculus
Front_Cell_Infect_Microbiol,PMC5867302,GSE103750,Mus musculus
PLoS_One,PMC2773418,GSE15114,Mus musculus
Sci_Rep,PMC6367434,SRP159963,Mus musculus
Cancer_Sci,PMC5406536,GSE75482,Mus musculus
BMC_Bioinformatics,PMC2972303,SRP000712,Mus musculus
Clin_Sci_(Lond),PMC6376615,GSE111043,Mus musculus
PLoS_One,PMC4364902,GSE62814,Mus musculus
eLife,PMC3977343,GSE52522,Mus musculus
PLoS_One,PMC6059462,GSE111593,Mus musculus
BMC_Genomics,PMC4869301,GSE73800,Mus musculus
PLoS_One,PMC5536293,GSE79274,Mus musculus
Nat_Immunol,PMC4297515,GSE60057,Mus musculus
Oncogene,PMC5658682,GSE81441,Mus musculus
eLife,PMC6422636,GSE115746,Mus musculus
PLoS_One,PMC3718788,GSE44873,Mus musculus
eLife,PMC5829925,GSE99120,Mus musculus
Nat_Commun,PMC5064021,GSE51665,Mus musculus
Front_Microbiol,PMC5239785,SRP065326,Mus musculus
