,journal,pmc_ID,accession,converted_accession
40033,BMC_Bioinformatics,PMC4196030,GSE6099,GSE6099
40034,BMC_Bioinformatics,PMC4222496,GSE2638,GSE2638
40035,BMC_Bioinformatics,PMC4222496,GSE17785,GSE17785
40037,BMC_Bioinformatics,PMC4222496,GSE17985,GSE17985
40048,BMC_Bioinformatics,PMC4227139,GSE49031,GSE49031
40049,BMC_Bioinformatics,PMC4227138,GSE7895,GSE7895
40050,BMC_Bioinformatics,PMC4227138,GSE19667,GSE19667
40051,BMC_Bioinformatics,PMC4227138,GSE12251,GSE12251
40052,BMC_Bioinformatics,PMC4227138,GSE1480,GSE1480
40053,BMC_Bioinformatics,PMC4227138,GSE16879,GSE16879
40054,BMC_Bioinformatics,PMC4227138,GSE50254,GSE50254
40072,BMC_Bioinformatics,PMC4227138,GSE14580,GSE14580
40075,BMC_Bioinformatics,PMC4229977,GPL2,NaN
40076,BMC_Bioinformatics,PMC4230495,GSE40279,GSE40279
40080,BMC_Bioinformatics,PMC4229885,ERR018562,ERP000335
40081,BMC_Bioinformatics,PMC4235196,GSE29578,GSE29578
40082,BMC_Bioinformatics,PMC4235196,GSE30452,GSE30452
40083,BMC_Bioinformatics,PMC4235196,GSM110438,GSE4913
40084,BMC_Bioinformatics,PMC4235196,GSM110439,GSE4913
40085,BMC_Bioinformatics,PMC4235196,GSM110443,GSE4913
40087,BMC_Bioinformatics,PMC4245761,SRR407427,SRP010855
40088,BMC_Bioinformatics,PMC4245730,GSE19830,GSE19830
40089,BMC_Bioinformatics,PMC5073875,SRR764800,SRP018838
40090,BMC_Bioinformatics,PMC4246454,SRX687104,SRP045835
40091,BMC_Bioinformatics,PMC4246454,SRX067313,SRP045756
40092,BMC_Bioinformatics,PMC4246454,SRX055380,SRP004311
40093,BMC_Bioinformatics,PMC4246454,SRX055381,SRP004311
40094,BMC_Bioinformatics,PMC4246436,GSE24080,GSE24080
40095,BMC_Bioinformatics,PMC4246436,GSE2109,GSE2109
40096,BMC_Bioinformatics,PMC4246436,GSE13159,GSE13159
40097,BMC_Bioinformatics,PMC4251037,GSE25644,GSE25644
40101,BMC_Bioinformatics,PMC4251038,ERX012406,ERP000603
40104,BMC_Bioinformatics,PMC4251038,ERR032971,ERP000603
40105,BMC_Bioinformatics,PMC4251038,ERR032972,ERP000603
40115,BMC_Bioinformatics,PMC4251046,GSE8880,GSE8880
40116,BMC_Bioinformatics,PMC4255424,GSE9476,GSE9476
40117,BMC_Bioinformatics,PMC4255424,GDS4337,GSE38642
40118,BMC_Bioinformatics,PMC4158620,GSE2109,GSE2109
40120,BMC_Bioinformatics,PMC4261523,GSE13067,GSE13067
40121,BMC_Bioinformatics,PMC4261523,GSE14333,GSE14333
40122,BMC_Bioinformatics,PMC4261523,GSE17538,GSE17538
40132,BMC_Bioinformatics,PMC4261523,GSM358397,GSE14333
40133,BMC_Bioinformatics,PMC4261523,GSM437169,GSE17536;GSE17538
40134,BMC_Bioinformatics,PMC4261523,GSM358503,GSE14333
40135,BMC_Bioinformatics,PMC4261523,GSM437210,GSE17536;GSE17538
40136,BMC_Bioinformatics,PMC4261523,GSM327335,GSE13067
40137,BMC_Bioinformatics,PMC4261523,GSM358620,GSE14333
40138,BMC_Bioinformatics,PMC4261523,GSM358441,GSE14333
40139,BMC_Bioinformatics,PMC4261523,GSM437117,GSE17536;GSE17538
40140,BMC_Bioinformatics,PMC4262117,GSE8799,GSE8799
40142,BMC_Bioinformatics,PMC4262117,GSE54951,GSE54951
40143,BMC_Bioinformatics,PMC4262117,GSE25002,GSE25002
40144,BMC_Bioinformatics,PMC4262117,GSE36298,GSE36298
40145,BMC_Bioinformatics,PMC4262117,GSE50728,GSE50728
40146,BMC_Bioinformatics,PMC4262117,GSE36599,GSE36599
40147,BMC_Bioinformatics,PMC4262117,GSE47712,GSE47712
40148,BMC_Bioinformatics,PMC4262117,GSE21870,GSE21870
40149,BMC_Bioinformatics,PMC4262117,GSE38848,GSE38848
40150,BMC_Bioinformatics,PMC4262117,GSE36954,GSE36954
40151,BMC_Bioinformatics,PMC4262117,GSE33276,GSE33276
40152,BMC_Bioinformatics,PMC4262117,GSE40399,GSE40399
40153,BMC_Bioinformatics,PMC4262117,GSE31176,GSE31176
40154,BMC_Bioinformatics,PMC4262117,GSE26923,GSE26923
40155,BMC_Bioinformatics,PMC4262117,GSE30054,GSE30054
40156,BMC_Bioinformatics,PMC4262117,GSE30051,GSE30051
40157,BMC_Bioinformatics,PMC4262117,GSE30052,GSE30052
40158,BMC_Bioinformatics,PMC4262117,GSE32974,GSE32974
40160,BMC_Bioinformatics,PMC4262117,GSE24888,GSE24888
40161,BMC_Bioinformatics,PMC4262117,GSE19302,GSE19302
40162,BMC_Bioinformatics,PMC4262117,GSE33427,GSE33427
40163,BMC_Bioinformatics,PMC4262117,GSE17716,GSE17716
40164,BMC_Bioinformatics,PMC4262117,GSE31366,GSE31366
40165,BMC_Bioinformatics,PMC4262117,GSE26171,GSE26171
40166,BMC_Bioinformatics,PMC4262117,GSE22270,GSE22270
40167,BMC_Bioinformatics,PMC4262117,GSE29273,GSE29273
40168,BMC_Bioinformatics,PMC4262117,GSE29353,GSE29353
40169,BMC_Bioinformatics,PMC4262117,GSE21571,GSE21571
40170,BMC_Bioinformatics,PMC4262117,GSE17364,GSE17364
40171,BMC_Bioinformatics,PMC4262117,GSE15352,GSE15352
40174,BMC_Bioinformatics,PMC4262117,GSE16799,GSE16799
40175,BMC_Bioinformatics,PMC4262117,GSE16346,GSE16346
40176,BMC_Bioinformatics,PMC4262117,GSE14227,GSE14227
40178,BMC_Bioinformatics,PMC4268827,GSE29860,GSE29860
40179,BMC_Bioinformatics,PMC4269079,GSE13355,GSE13355
40180,BMC_Bioinformatics,PMC4269079,GSE14905,GSE14905
40181,BMC_Bioinformatics,PMC4269079,GSE1561,GSE1561
40182,BMC_Bioinformatics,PMC4269079,GSE1456,GSE1456
40183,BMC_Bioinformatics,PMC4269079,GSE24061,GSE24061
40184,BMC_Bioinformatics,PMC4269079,GSE7390,GSE7390
40185,BMC_Bioinformatics,PMC4271471,ERR011343,ERP000108
40186,BMC_Bioinformatics,PMC4271563,GSE3068,GSE3068
40191,BMC_Bioinformatics,PMC4271560,SRR027474,SRP001228
40192,BMC_Bioinformatics,PMC4271560,SRR396942,SRP010181
40193,BMC_Bioinformatics,PMC4271560,SRR824063,SRP018046
40194,BMC_Bioinformatics,PMC4271560,SRR824065,SRP018046
40195,BMC_Bioinformatics,PMC4271560,SRR932018,SRP027254
40201,BMC_Bioinformatics,PMC4287502,ERR192350,ERP001953
40202,BMC_Bioinformatics,PMC4287502,SRR306438,SRP007400
40203,BMC_Bioinformatics,PMC4287502,ERR034786,ERP000689
40210,BMC_Bioinformatics,PMC4279962,GSE32869,GSE32869
40211,BMC_Bioinformatics,PMC4287445,GSE36553,GSE36553
40212,BMC_Bioinformatics,PMC4287445,GSE36461,GSE36461
40213,BMC_Bioinformatics,PMC4288635,GSE3431,GSE3431
40214,BMC_Bioinformatics,PMC4290646,SRR716647,SRP004078
40215,BMC_Bioinformatics,PMC4290646,SRP004078,SRP004078
40216,BMC_Bioinformatics,PMC4279814,ERS389787,ERP004507
40217,BMC_Bioinformatics,PMC4279814,ERS389793,ERP004507
40218,BMC_Bioinformatics,PMC4279814,ERS392388,ERP004507
40219,BMC_Bioinformatics,PMC4279814,ERS392386,ERP004507
40220,BMC_Bioinformatics,PMC4279814,ERS392380,ERP004507
40221,BMC_Bioinformatics,PMC4302108,GSE42152,GSE42152
40222,BMC_Bioinformatics,PMC4302108,GSE11431,GSE11431
40223,BMC_Bioinformatics,PMC4302108,GSE31233,GSE31233
40224,BMC_Bioinformatics,PMC4302108,GSE11724,GSE11724
40225,BMC_Bioinformatics,PMC4302108,GSE36104,GSE36104
40226,BMC_Bioinformatics,PMC4302108,GSE36030,GSE36030
40227,BMC_Bioinformatics,PMC4302108,GSE22178,GSE22178
40228,BMC_Bioinformatics,PMC4302108,GSE21314,GSE21314
40229,BMC_Bioinformatics,PMC4302108,GSE33913,GSE33913
40230,BMC_Bioinformatics,PMC4302108,GSE12346,GSE12346
40231,BMC_Bioinformatics,PMC4302108,GSE21512,GSE21512
40232,BMC_Bioinformatics,PMC4302108,GSE35024,GSE35024
40233,BMC_Bioinformatics,PMC4302108,GSE21978,GSE21978
40234,BMC_Bioinformatics,PMC4302108,GSE21614,GSE21614
40235,BMC_Bioinformatics,PMC4302108,GSE30142,GSE30142
40236,BMC_Bioinformatics,PMC4302108,GSE29193,GSE29193
40237,BMC_Bioinformatics,PMC4307147,SRA048574,SRP009694
40238,BMC_Bioinformatics,PMC4307147,SRA048511,SRP009823
40239,BMC_Bioinformatics,PMC4307147,SRA048664,SRP009845
40240,BMC_Bioinformatics,PMC4307147,SRX007714,SRP001086
40241,BMC_Bioinformatics,PMC4307147,SRX016063,NaN
40242,BMC_Bioinformatics,PMC4307147,SRR801797,SRP020472
40243,BMC_Bioinformatics,PMC4307147,ERR400373,ERP004535
40247,BMC_Bioinformatics,PMC4307147,SRX033397,NaN
40249,BMC_Bioinformatics,PMC4308892,GSE9138,GSE9138
40250,BMC_Bioinformatics,PMC4384298,ERR048988,ERP000952
40251,BMC_Bioinformatics,PMC4384298,ERR048994,ERP000952
40252,BMC_Bioinformatics,PMC4512094,GSE3933,GSE3933
40253,BMC_Bioinformatics,PMC4512094,GSE6956,GSE6956
40254,BMC_Bioinformatics,PMC4512094,GSE3868,GSE3868
40255,BMC_Bioinformatics,PMC4512094,GSE3325,GSE3325
40256,BMC_Bioinformatics,PMC4512094,GSE6919,GSE6919
40257,BMC_Bioinformatics,PMC4512094,GSE4412,GSE4412
40258,BMC_Bioinformatics,PMC4512094,GSE4271,GSE4271
40259,BMC_Bioinformatics,PMC4512094,GSE4290,GSE4290
40260,BMC_Bioinformatics,PMC4512094,GSE1993,GSE1993
40261,BMC_Bioinformatics,PMC4512094,GSE16011,GSE16011
40262,BMC_Bioinformatics,PMC4512094,GSE19578,GSE19578
40263,BMC_Bioinformatics,PMC4512094,GSE4381,GSE4381
40264,BMC_Bioinformatics,PMC4512094,GSE2052,GSE2052
40265,BMC_Bioinformatics,PMC4512094,GSE5774,GSE5774
40266,BMC_Bioinformatics,PMC4512094,GSE10667,GSE10667
40267,BMC_Bioinformatics,PMC4512094,GSE11196,GSE11196
40268,BMC_Bioinformatics,PMC4512094,GSE17978,GSE17978
40269,BMC_Bioinformatics,PMC4512094,GPL1,NaN
40272,BMC_Bioinformatics,PMC4609108,SRA010153,NaN
40273,BMC_Bioinformatics,PMC4609108,SRA012427,SRP002274
40282,BMC_Bioinformatics,PMC4641353,ERX097243,ERP001312
40283,BMC_Bioinformatics,PMC4659244,GSM1,GSE506
40284,BMC_Bioinformatics,PMC4459677,SRR001471,SRP000032
40292,BMC_Bioinformatics,PMC4459677,ERR231645,ERP002251
40293,BMC_Bioinformatics,PMC4459677,ERR005143,ERP000055
40294,BMC_Bioinformatics,PMC4459677,SRR352384,SRP008842
40295,BMC_Bioinformatics,PMC4459677,SRR801793,SRP020472
40296,BMC_Bioinformatics,PMC4459677,SRR554369,SRP015395
40297,BMC_Bioinformatics,PMC4459677,ERR654984,ERP007262
40298,BMC_Bioinformatics,PMC4459677,ERR233152,ERP002277
40299,BMC_Bioinformatics,PMC4459677,SRR327342,SRP005125
40335,BMC_Bioinformatics,PMC4465016,GPL3,NaN
40338,BMC_Bioinformatics,PMC3023695,GSE3467,GSE3467
40339,BMC_Bioinformatics,PMC4464605,GSE58001,GSE58001
40340,BMC_Bioinformatics,PMC4464037,SRR622457,SRP018096
40344,BMC_Bioinformatics,PMC4518889,GSE24277,GSE24277
40345,BMC_Bioinformatics,PMC4518889,GSE46077,GSE46077
40346,BMC_Bioinformatics,PMC4518889,GSE12248,GSE12248
40347,BMC_Bioinformatics,PMC4546821,GSE27421,GSE27421
40348,BMC_Bioinformatics,PMC4546821,GSE27422,GSE27422
40349,BMC_Bioinformatics,PMC4546821,GSE27423,GSE27423
40350,BMC_Bioinformatics,PMC4546821,GPL13209,GSE27421;GSE27440
40351,BMC_Bioinformatics,PMC2884167,GSE12545,GSE12545
40352,BMC_Bioinformatics,PMC2884167,GSE1133,GSE1133
40354,BMC_Bioinformatics,PMC2884167,GSE6292,GSE6292
40355,BMC_Bioinformatics,PMC2884167,GSE3061,GSE3061
40357,BMC_Bioinformatics,PMC4559209,GSM862720,GPL13112
40358,BMC_Bioinformatics,PMC4559209,GSM862721,GPL13112
40359,BMC_Bioinformatics,PMC4559209,GSM862750,NaN
40360,BMC_Bioinformatics,PMC4559209,GSM862751,NaN
40361,BMC_Bioinformatics,PMC3890500,GSE17913,GSE17913
40362,BMC_Bioinformatics,PMC3890500,GSE15745,GSE15745
40363,BMC_Bioinformatics,PMC4572678,GSE5764,GSE5764
40364,BMC_Bioinformatics,PMC4573686,SRR1980665,SRP057405
40366,BMC_Bioinformatics,PMC4597416,GSE6099,GSE6099
40367,BMC_Bioinformatics,PMC4603742,SRR001665,SRP000220
40368,BMC_Bioinformatics,PMC4603742,SRR616966,SRP016930
40369,BMC_Bioinformatics,PMC4970299,GSE53816,GSE53816
40370,BMC_Bioinformatics,PMC4970299,GSE54445,GSE54445
40371,BMC_Bioinformatics,PMC4618947,GSE781,GSE781
40372,BMC_Bioinformatics,PMC4618947,GSE1297,GSE1297
40373,BMC_Bioinformatics,PMC4618947,GSE3467,GSE3467
40374,BMC_Bioinformatics,PMC4618947,GSE3585,GSE3585
40375,BMC_Bioinformatics,PMC4618947,GSE3678,GSE3678
40376,BMC_Bioinformatics,PMC4618947,GSE4107,GSE4107
40377,BMC_Bioinformatics,PMC4618947,GSE5281,GSE5281
40380,BMC_Bioinformatics,PMC4618947,GSE6956,GSE6956
40382,BMC_Bioinformatics,PMC4618947,GSE8671,GSE8671
40383,BMC_Bioinformatics,PMC4618947,GSE8762,GSE8762
40384,BMC_Bioinformatics,PMC4618947,GSE9348,GSE9348
40385,BMC_Bioinformatics,PMC4618947,GSE9476,GSE9476
40386,BMC_Bioinformatics,PMC4618947,GSE14762,GSE14762
40387,BMC_Bioinformatics,PMC4618947,GSE15471,GSE15471
40388,BMC_Bioinformatics,PMC4618947,GSE16515,GSE16515
40389,BMC_Bioinformatics,PMC4618947,GSE18842,GSE18842
40390,BMC_Bioinformatics,PMC4618947,GSE19188,GSE19188
40391,BMC_Bioinformatics,PMC4618947,GSE19728,GSE19728
40392,BMC_Bioinformatics,PMC4618947,GSE20153,GSE20153
40393,BMC_Bioinformatics,PMC4618947,GSE20291,GSE20291
40394,BMC_Bioinformatics,PMC4618947,GSE21354,GSE21354
40395,BMC_Bioinformatics,PMC4618947,GSE1145,GSE1145
40396,BMC_Bioinformatics,PMC4618947,GSE14924,GSE14924
40398,BMC_Bioinformatics,PMC4618947,GSE16759,GSE16759
40399,BMC_Bioinformatics,PMC4618947,GSE19420,GSE19420
40400,BMC_Bioinformatics,PMC4618947,GSE20164,GSE20164
40401,BMC_Bioinformatics,PMC4618947,GSE23878,GSE23878
40402,BMC_Bioinformatics,PMC4618947,GSE24739,GSE24739
40404,BMC_Bioinformatics,PMC4618947,GSE32676,GSE32676
40405,BMC_Bioinformatics,PMC4618947,GSE4183,GSE4183
40406,BMC_Bioinformatics,PMC4618947,GSE7305,GSE7305
40407,BMC_Bioinformatics,PMC4955262,ERP000546,ERP000546
40408,BMC_Bioinformatics,PMC4995760,GSE57872,GSE57872
40409,BMC_Bioinformatics,PMC4751708,GSE9899,GSE9899
40412,BMC_Bioinformatics,PMC5148890,SRR1956911,SRP056962
40413,BMC_Bioinformatics,PMC5148890,ERR690851,ERP008892
40414,BMC_Bioinformatics,PMC5148890,SRR1924287,SRP056417
40415,BMC_Bioinformatics,PMC5148890,SRP011938,SRP011938
40416,BMC_Bioinformatics,PMC5148890,SRA066161,NaN
40422,BMC_Bioinformatics,PMC5148890,SRR3469744,SRP074228
40423,BMC_Bioinformatics,PMC5225587,PRJNA325594,SRP076728
40425,BMC_Bioinformatics,PMC5237282,GPL11154,GSE76381
40426,BMC_Bioinformatics,PMC5237282,GSE2564,GSE2564
40427,BMC_Bioinformatics,PMC5237282,GSE68839,GSE68839
40428,BMC_Bioinformatics,PMC5237282,GSE21847,GSE21847
40434,BMC_Bioinformatics,PMC5237319,GDS3323,GSE10740
40435,BMC_Bioinformatics,PMC5237319,GDS3215,GSE10432
40436,BMC_Bioinformatics,PMC5237319,GDS3485,GSE10556
40437,BMC_Bioinformatics,PMC5237319,GDS3476,GSE11287
40438,BMC_Bioinformatics,PMC5237319,GDS3197,NaN
40439,BMC_Bioinformatics,PMC5237319,GDS3149,GSE9549
40440,BMC_Bioinformatics,PMC5237319,GDS2107,GSE3311
40441,BMC_Bioinformatics,PMC5237319,GDS3464,GSE12826
40442,BMC_Bioinformatics,PMC5237319,GDS3426,GSE8523
40443,BMC_Bioinformatics,PMC5237319,GDS3421,GSE12190
40444,BMC_Bioinformatics,PMC5237319,GDS3360,GSE7246
40445,BMC_Bioinformatics,PMC5237319,GDS2863,GSE8252
40446,BMC_Bioinformatics,PMC5237319,GDS5057,GSE50836
40447,BMC_Bioinformatics,PMC5237319,GDS5055,GSE25423
40448,BMC_Bioinformatics,PMC5237319,GDS3428,GSE12259
40449,BMC_Bioinformatics,PMC5237319,GDS4484,GSE24793
40450,BMC_Bioinformatics,PMC5237319,GDS3785,GSE19664
40451,BMC_Bioinformatics,PMC5237319,GDS3930,GSE28150
40452,BMC_Bioinformatics,PMC5237319,GDS4321,GSE40693
40453,BMC_Bioinformatics,PMC5237319,GDS3032,GSE7259
40459,BMC_Bioinformatics,PMC5237546,GSE84094,GSE84094
40460,BMC_Bioinformatics,PMC5237546,GSE84095,GSE84095
40463,BMC_Bioinformatics,PMC5240266,GSE34188,GSE34188
40464,BMC_Bioinformatics,PMC5240266,GSE49001,GSE49001
40465,BMC_Bioinformatics,PMC5240266,GSE84002,GSE84002
40466,BMC_Bioinformatics,PMC5240266,SRP080911,SRP080911
40471,BMC_Bioinformatics,PMC5240434,GSE25913,GSE25913
40472,BMC_Bioinformatics,PMC5240434,GSE18565,GSE18565
40473,BMC_Bioinformatics,PMC5240434,GSE35457,GSE35457
40474,BMC_Bioinformatics,PMC5240434,GSE34515,GSE34515
40475,BMC_Bioinformatics,PMC5240434,GSE16836,GSE16836
40476,BMC_Bioinformatics,PMC5240434,SRP082682,SRP082682
40481,BMC_Bioinformatics,PMC5242055,GSE79612,GSE79612
40482,BMC_Bioinformatics,PMC5244592,SRA054922,NaN
40484,BMC_Bioinformatics,PMC5249028,GSE37250,GSE37250
40485,BMC_Bioinformatics,PMC5249028,GSE39940,GSE39940
40486,BMC_Bioinformatics,PMC5249029,GSE48052,GSE48052
40488,BMC_Bioinformatics,PMC5259853,GSE15641,GSE15641
40491,BMC_Bioinformatics,PMC5260008,SRP003186,SRP003186
40492,BMC_Bioinformatics,PMC5260008,ERS025221,ERP000550
40493,BMC_Bioinformatics,PMC5260008,ERS025248,ERP000550
40497,BMC_Bioinformatics,PMC5260104,SRR081276,SRP004852
40498,BMC_Bioinformatics,PMC5260104,SRR089297,SRP004852
40499,BMC_Bioinformatics,PMC5259824,GSE28166,GSE28166
40501,BMC_Bioinformatics,PMC5259824,GSE43955,GSE43955
40509,BMC_Bioinformatics,PMC5259837,GDS181,GSE96
40510,BMC_Bioinformatics,PMC5259837,GDS589,GSE952
40511,BMC_Bioinformatics,PMC5259837,GDS1027,GSE1888
40512,BMC_Bioinformatics,PMC5259837,GDS1319,GSE2180
40513,BMC_Bioinformatics,PMC5259837,GDS1406,GSE3327
40514,BMC_Bioinformatics,PMC5259837,GDS1490,GSE3594
40515,BMC_Bioinformatics,PMC5259837,GDS3715,GSE22309
40516,BMC_Bioinformatics,PMC5259837,GDS3716,GSE20437
40517,BMC_Bioinformatics,PMC5259956,GSE25066,GSE25066
40525,BMC_Bioinformatics,PMC5264486,GSM393954,GSE15735
40526,BMC_Bioinformatics,PMC5264486,GSM393955,GSE15735
40527,BMC_Bioinformatics,PMC5264486,GSE9927,GSE9927
40528,BMC_Bioinformatics,PMC5264486,GSE14789,GSE14789
40529,BMC_Bioinformatics,PMC5264486,GSE12079,GSE12079
40530,BMC_Bioinformatics,PMC5264486,GSE16461,GSE16461
40531,BMC_Bioinformatics,PMC5264486,GSE14278,GSE14278
40532,BMC_Bioinformatics,PMC5264486,GSE25087,GSE25087
40533,BMC_Bioinformatics,PMC5264486,GSE14924,GSE14924
40534,BMC_Bioinformatics,PMC5264486,GSE6338,GSE6338
40535,BMC_Bioinformatics,PMC5264486,GSE22045,GSE22045
40536,BMC_Bioinformatics,PMC5264486,GSE26928,GSE26928
40537,BMC_Bioinformatics,PMC5264486,GSE28490,GSE28490
40538,BMC_Bioinformatics,PMC5264486,GSE28491,GSE28491
40539,BMC_Bioinformatics,PMC5264486,GSE28726,GSE28726
40540,BMC_Bioinformatics,PMC5264486,GSE31773,GSE31773
40541,BMC_Bioinformatics,PMC5264486,GPL570,GSE2109
40542,BMC_Bioinformatics,PMC5267387,GDS2688,GSE5101
40553,BMC_Bioinformatics,PMC5282853,GSE60185,GSE60185
40555,BMC_Bioinformatics,PMC5282906,ERP014915,ERP014915
40557,BMC_Bioinformatics,PMC5139036,GSE18723,GSE18723
40560,BMC_Bioinformatics,PMC5286865,GSE34082,GSE34082
40561,BMC_Bioinformatics,PMC5288875,GSE18684,GSE18684
40562,BMC_Bioinformatics,PMC5288875,GSE4107,GSE4107
40569,BMC_Bioinformatics,PMC5294841,SRP027410,SRP027410
40570,BMC_Bioinformatics,PMC5294888,GSE36553,GSE36553
40571,BMC_Bioinformatics,PMC5294888,GSE36461,GSE36461
40572,BMC_Bioinformatics,PMC5294900,GSE64810,GSE64810
40575,BMC_Bioinformatics,PMC5046198,SRA024251,SRP003601
40576,BMC_Bioinformatics,PMC5303223,GSE47780,GSE47780
40578,BMC_Bioinformatics,PMC5303311,GSE3143,GSE3143
40579,BMC_Bioinformatics,PMC5307731,GSE50660,GSE50660
40580,BMC_Bioinformatics,PMC5307731,GSE42861,GSE42861
40581,BMC_Bioinformatics,PMC5311845,GSM110412,GSE4913
40582,BMC_Bioinformatics,PMC5311845,SRP033468,SRP033468
40585,BMC_Bioinformatics,PMC5311845,SRX386467,SRP033468
40587,BMC_Bioinformatics,PMC5312442,PRJNA183205,SRP017801
40589,BMC_Bioinformatics,PMC5319012,SRS354082,SRP014759
40592,BMC_Bioinformatics,PMC5322580,SRR4011625,SRP081094
40593,BMC_Bioinformatics,PMC5322580,SRR4011626,SRP081094
40594,BMC_Bioinformatics,PMC5322580,SRR4011627,SRP081094
40595,BMC_Bioinformatics,PMC5322580,SRR4011628,SRP081094
40596,BMC_Bioinformatics,PMC5322580,GSE82121,GSE82121
40597,BMC_Bioinformatics,PMC5324271,SRX533609,SRP043558
40598,BMC_Bioinformatics,PMC5324271,SRR1304331,SRP043558
40599,BMC_Bioinformatics,PMC5324271,SRR1304332,SRP043558
40602,BMC_Bioinformatics,PMC5327533,GSE56457,GSE56457
40604,BMC_Bioinformatics,PMC5330036,GSE4271,GSE4271
40605,BMC_Bioinformatics,PMC5330036,GSE4412,GSE4412
40608,BMC_Bioinformatics,PMC5335754,GSE3933,GSE3933
40610,BMC_Bioinformatics,PMC5336615,DRA004782,DRP003370
40611,BMC_Bioinformatics,PMC5336648,GSE93402,GSE93402
40612,BMC_Bioinformatics,PMC5336648,GSE93403,GSE93403
40613,BMC_Bioinformatics,PMC5336648,GSE93406,GSE93406
40614,BMC_Bioinformatics,PMC5336648,GSE1133,GSE1133
40618,BMC_Bioinformatics,PMC5336655,GSE14924,GSE14924
40619,BMC_Bioinformatics,PMC5336655,GSE19728,GSE19728
40622,BMC_Bioinformatics,PMC5343294,SRR309230,SRP007491
40624,BMC_Bioinformatics,PMC5343294,SRR837425,SRP022041
40633,BMC_Bioinformatics,PMC5340033,SRP065626,SRP065626
40634,BMC_Bioinformatics,PMC5346188,SRP059519,SRP059519
40636,BMC_Bioinformatics,PMC5359966,GSE64977,GSE64977
40637,BMC_Bioinformatics,PMC5359966,GSE65920,GSE65920
40638,BMC_Bioinformatics,PMC5359966,GSE60900,GSE60900
40640,BMC_Bioinformatics,PMC5359966,SRR1759212,SRP052236
40641,BMC_Bioinformatics,PMC5359966,SRR1759213,SRP052236
40642,BMC_Bioinformatics,PMC5359966,SRR1759214,SRP052236
40643,BMC_Bioinformatics,PMC5359966,SRR1759215,SRP052236
40671,BMC_Bioinformatics,PMC5359929,GSE6740,GSE6740
40672,BMC_Bioinformatics,PMC5359929,GSE44228,GSE44228
40674,BMC_Bioinformatics,PMC5356398,GSE23889,GSE23889
40675,BMC_Bioinformatics,PMC5356398,GSE11774,GSE11774
40682,BMC_Bioinformatics,PMC5359991,SRR2916693,SRP066179
40683,BMC_Bioinformatics,PMC5359991,SRR2994368,SRP058582
40684,BMC_Bioinformatics,PMC5359991,SRR3211986,SRP071243
40685,BMC_Bioinformatics,PMC5359991,ERR739513,ERP009387
40686,BMC_Bioinformatics,PMC5359991,SRR3190692,SRP071112
40687,BMC_Bioinformatics,PMC5359991,ERR385912,ERP004449
40688,BMC_Bioinformatics,PMC5359991,ERR386131,ERP004460
40689,BMC_Bioinformatics,PMC5359991,SRR034509,SRP001087
40690,BMC_Bioinformatics,PMC5359991,ERR174310,ERP001775
40691,BMC_Bioinformatics,PMC5359991,ERR194147,ERP001960
40712,BMC_Bioinformatics,PMC5364679,PRJNA154389,SRP009426
40713,BMC_Bioinformatics,PMC5364679,GSE32898,GSE32898
40714,BMC_Bioinformatics,PMC5364645,GSE13213,GSE13213
40715,BMC_Bioinformatics,PMC5364645,GSE1037,GSE1037
40720,BMC_Bioinformatics,PMC5364645,GSE42127,GSE42127
40722,BMC_Bioinformatics,PMC5374550,GSE7307,GSE7307
40725,BMC_Bioinformatics,PMC5374559,GSE38642,GSE38642
40726,BMC_Bioinformatics,PMC5374559,GSE18732,GSE18732
40727,BMC_Bioinformatics,PMC5374559,GSE27342,GSE27342
40728,BMC_Bioinformatics,PMC5374559,GSE35713,GSE35713
40745,BMC_Bioinformatics,PMC5374559,GSE3571,GSE3571
40756,BMC_Bioinformatics,PMC5374548,SRR1654347,SRP049647
40757,BMC_Bioinformatics,PMC5374548,SRR2496735,SRP049647
40758,BMC_Bioinformatics,PMC5374548,SRR2496699,SRP049647
40759,BMC_Bioinformatics,PMC5374548,SRR2496709,SRP049647
40760,BMC_Bioinformatics,PMC5374548,SRR2496731,SRP049647
40761,BMC_Bioinformatics,PMC5374548,SRR2496739,SRP049647
40762,BMC_Bioinformatics,PMC5374548,SRR2496749,SRP049647
40763,BMC_Bioinformatics,PMC5374548,SRR2496716,SRP049647
40764,BMC_Bioinformatics,PMC5374700,GSE57822,GSE57822
40766,BMC_Bioinformatics,PMC5374687,ERP001196,ERP001196
40767,BMC_Bioinformatics,PMC5374660,GSE4412,GSE4412
40768,BMC_Bioinformatics,PMC5374695,GSE47774,GSE47774
40770,BMC_Bioinformatics,PMC5381037,SRP013920,SRP013920
40772,BMC_Bioinformatics,PMC5381037,SRP021061,SRP021061
40774,BMC_Bioinformatics,PMC5381037,SRP051658,SRP051658
40776,BMC_Bioinformatics,PMC5381037,SRP027340,SRP027340
40778,BMC_Bioinformatics,PMC5382505,SRX533608,SRP040522
40779,BMC_Bioinformatics,PMC5382505,SRX985423,SRP004788
40780,BMC_Bioinformatics,PMC5382505,SRR2102571,SRP061164
40781,BMC_Bioinformatics,PMC5382505,SRR2102572,SRP061164
40782,BMC_Bioinformatics,PMC5382505,ERR022075,ERP000388
40783,BMC_Bioinformatics,PMC5382505,ERR469286,ERP005441
