PMC_ID,repo_ID
PMC3019180,GSE2972
PMC3019180,GSE4679
PMC3019180,GSE3223
PMC3019180,GSE3231
PMC3019180,GSE2972
PMC3019180,GSE4679
PMC3019180,GSE3223
PMC3019180,GSE3231
PMC3019180,GSE2972
PMC3019180,GSE4679
PMC3019180,GSE3223
PMC3019180,GSE10518
PMC2164963,TCGA
PMC2225983,GSE8191
PMC4574162,GSE23351
PMC2277374,GSE9415
PMC2441606,TCGA
PMC2441606,TCGA
PMC2430022,GSE10954
PMC3022651,GSE4671
PMC3022651,GSE8831
PMC3022651,GSE6514
PMC3022651,GSE6571
PMC3022651,GSE8831
PMC3022651,GSE4671
PMC2917432,GSE8051
PMC2917432,GSE703
PMC2917432,GSE4707
PMC2917432,GSE16415
PMC2892459,GSE20403
PMC2892459,GSE20403
PMC2892459,GSE20403
PMC2905341,GSE15924
PMC2893085,TCGA
PMC2893085,TCGA
PMC2893085,TCGA
PMC2892460,GSE17612
PMC2892460,GSE14333
PMC2892460,GSE19615
PMC2892460,GSE18520
PMC2856555,GSE11339
PMC2856555,GSE9025
PMC2856555,GSE19780
PMC2856555,GSE9566
PMC2856555,GSE11339
PMC2880973,GSE14832
PMC2880973,GSE14835
PMC2880973,GSE14836
PMC2880289,GSE17768
PMC2880289,GSE17769
PMC2890502,GDS104
PMC2596796,GDS2412
PMC2596796,GDS2412
PMC2689187,GSE4357
PMC2689187,GSE4380
PMC2689187,GSE15409
PMC2686685,GSE6462
PMC2686685,GSE6462
PMC2686685,GSE6462
PMC2653464,GSE6012
PMC2653464,GDS266
PMC2653464,GSE473
PMC2661886,TCGA
PMC2661886,GSE13924
PMC2657775,GSE7037
PMC2657775,GSE7120
PMC2657775,GSE7200
PMC2902438,GSE2109
PMC2902438,GSE2990
PMC2902438,GSE2109
PMC2902438,GSE2990
PMC2902438,GSE2109
PMC2902438,GSE2990
PMC2902438,GSE2109
PMC2902438,GSE2109
PMC2902438,GSE2990
PMC2902438,GSE2990
PMC2902438,GSE2109
PMC2902438,GSE2109
PMC2902438,GSE2109
PMC2902438,GSE2990
PMC2902438,GSE2990
PMC2902438,GSE2109
PMC2902438,GSE2990
PMC2902438,GSE2109
PMC2902438,GSE2109
PMC2902438,GSE2990
PMC2902438,GSE2109
PMC2902438,GSE2109
PMC2902438,GSE2109
PMC2902438,GSE3494
PMC2902438,GSE2990
PMC2902438,GSE2109
PMC2902438,GSE2990
PMC2902438,GSE2990
PMC2902438,GSE2109
PMC3002901,GSE13156
PMC3002901,GPL7467
PMC3002901,TCGA
PMC3225866,GSE23400
PMC3225866,GSE17951
PMC3002314,TCGA
PMC3002314,TCGA
PMC3002314,TCGA
PMC3002314,TCGA
PMC3002314,TCGA
PMC3002314,GDS1
PMC3002314,GDS1
PMC3002314,GDS1
PMC3002314,GDS1
PMC3002314,GDS1
PMC3002314,TCGA
PMC3002314,TCGA
PMC3002314,GDS1
PMC3002314,GDS1
PMC3012047,GSE10017
PMC3012047,GSE17136
PMC3012047,GSE11882
PMC3225826,GSE13149
PMC3225826,GSE13103
PMC3225826,GSE11539
PMC3225826,GSE8091
PMC3225826,GSE5671
PMC3225826,GSE6881
PMC3225826,GSE6882
PMC3225826,GSE16375
PMC2990745,GSE1456
PMC2990745,GSE3494
PMC2978157,GSE4172
PMC2978157,GSE3586
PMC2978157,GSE4172
PMC2978157,GSE3586
PMC2978157,GSE4172
PMC1885270,GSE5441
PMC2982685,GSE5281
PMC2982694,GSE5258
PMC2982694,GPL96
PMC2982694,GPL3921
PMC2982694,GSE5258
PMC2982694,GSE5258
PMC2992512,GDS649
PMC2992512,GDS1290
PMC2992512,GDS1249
PMC2992512,GDS2516
PMC2992512,GDS3215
PMC2992512,GDS1926
PMC2992512,GDS2626
PMC2992512,GDS2422
PMC2992512,GDS2484
PMC2992512,GDS2622
PMC2992512,GDS3217
PMC2992512,GDS2090
PMC2992512,GDS855
PMC2992512,GDS854
PMC2945950,GSE11969
PMC2944139,GSE12769
PMC2944139,GSE6916
PMC2944139,GSE15431
PMC4029265,TCGA
PMC4029265,TCGA
PMC4029265,TCGA
PMC4029265,TCGA
PMC4029265,TCGA
PMC4243117,GSE7307
PMC4243117,GSE7307
PMC4177180,GSE48324
PMC4177180,GSE61327
PMC4177180,GSE48324
PMC4177180,GSE61327
PMC4181829,TCGA
PMC4181829,TCGA
PMC4181829,TCGA
PMC4181829,TCGA
PMC4290683,GSE19177
PMC4290683,GSE15471
PMC4290694,GSE53118
PMC4290694,GSE26712
PMC4307189,GSE38376
PMC4307189,GPL6947
PMC4307189,GPL6947
PMC4307189,GSE38376
PMC4307189,GSE38376
PMC4307189,GSE38376
PMC4307189,GSE38376
PMC4307189,GSE16179
PMC4307189,GSE16179
PMC4307189,GSE38376
PMC4307189,GSE38379
PMC4307189,GSE16179
PMC4307189,GSE38376
PMC4307189,GSE16179
PMC4307189,GSE38376
PMC4307189,GSE16179
PMC4307189,GSE38376
PMC4307189,GSE16179
PMC4307189,GSE38376
PMC4307189,GSE38376
PMC4307189,GSE16179
PMC4307189,GSE38379
PMC4307189,GSE16179
PMC4307189,GSE38379
PMC4307189,GSE16179
PMC4307189,GSE38376
PMC4307189,GSE38376
PMC4307189,GSE38376
PMC4307189,GSE38376
PMC4307189,GSE38376
PMC4307189,GSE16179
PMC4307189,GSE16179
PMC4307189,GSE16179
PMC4307189,GSE16179
PMC4307189,GSE16179
PMC4307189,GSE16179
PMC4236453,GPL13426
PMC4236453,GSE62052
PMC4236453,GSE62052
PMC4236453,GSE62052
PMC4236453,GSE1040
PMC4236453,GSE4890
PMC4236453,GSE48900
PMC4236453,GSE4925
PMC4236453,GSE5557
PMC4236453,GSE5924
PMC4236453,GSE5925
PMC4236453,GSE5929
PMC4236453,GSE6776
PMC4236453,GSE7559
PMC4236453,GSE7609
PMC4236453,GSE7613
PMC4236453,GSE7709
PMC4236453,GSE7740
PMC4236453,GSE29706
PMC4236453,GSE13150
PMC4236453,GSE17515
PMC4836190,GSE30161
PMC4836190,GSE9899
PMC4836190,GSE17260
PMC4875653,GPL96
PMC4875653,GPL96
PMC4895727,GSE17612
PMC4895727,GSE21138
PMC2857823,GSE21008
PMC2857823,GSE21010
PMC2857823,GSE210011
PMC4977481,TCGA
PMC4977481,TCGA
PMC4977481,TCGA
PMC4977481,TCGA
PMC4977481,TCGA
PMC4977481,TCGA
PMC4977481,TCGA
PMC4977481,TCGA
PMC4977481,ERR424934
PMC4977481,ERR424935
PMC4977481,ERR424934
PMC4977481,ERR424935
PMC4977482,GSE6764
PMC4977482,GSE30550
PMC4977482,GSE6764
PMC4977482,GSE30550
PMC4977478,GSE37858
PMC4977478,GSE31477
PMC5011974,TCGA
PMC5111277,TCGA
PMC5111277,TCGA
PMC5111277,TCGA
PMC5111277,TCGA
PMC5111277,TCGA
PMC5111277,TCGA
PMC5111277,TCGA
PMC5111277,TCGA
PMC5111277,TCGA
PMC5111277,TCGA
PMC5111277,TCGA
PMC5111277,TCGA
PMC5111277,TCGA
PMC3403121,GDS2318
PMC3403121,GSE4987
PMC5009817,TCGA
PMC5009817,TCGA
PMC5009817,TCGA
PMC5009817,TCGA
PMC5009817,TCGA
PMC5009817,TCGA
PMC5009817,TCGA
PMC5009817,TCGA
PMC5009817,TCGA
PMC5009820,TCGA
PMC5009820,TCGA
PMC5009820,TCGA
PMC5009820,TCGA
PMC5009820,TCGA
PMC5009820,TCGA
PMC5009820,TCGA
PMC5035469,GSE33266
PMC5035469,GSE40827
PMC5035469,GSE40824
PMC5035469,GSE40840
PMC5035469,GSE33266
PMC5035469,GSE40827
PMC5035469,GSE40824
PMC5035469,GSE40840
PMC5249008,GSE70844
PMC5249008,GSE75413
PMC5249008,GSE63576
PMC5249008,GSE52525
PMC5249008,SRP065920
PMC5249008,GSE71585
PMC5249008,GSE59739
PMC5249008,GSE60361
PMC5249008,GSE70844
PMC5249008,GSE75413
PMC5249008,GSE63576
PMC5249008,GSE52525
PMC5249008,SRP065920
PMC5249008,GSE71585
PMC5249008,GSE59739
PMC5249008,GSE60361
PMC3287572,GSE26033
PMC3287572,GSE26033
PMC3287572,GSE26033
PMC3287572,GSE30611
PMC3287572,GSE30611
PMC3287572,GSE30611
PMC2944137,TCGA
PMC5111260,GSE46562
PMC2933594,GSE21601
PMC2933594,GSE21601
PMC2998496,GSE19628
PMC2998496,GSE19662
PMC2946304,GSE6532
PMC2946304,GSE1456
PMC2946304,GSE3494
PMC2946304,GSE7390
PMC2946304,GSE2034
PMC2946304,GSE6532
PMC2946304,GSE1456
PMC2946304,GSE3494
PMC2946304,GSE7390
PMC2946304,GSE2034
PMC5249032,SRP083572
PMC5249032,SRP083572
PMC5259919,TCGA
PMC5259919,TCGA
PMC5259919,TCGA
PMC5259919,TCGA
PMC5259919,TCGA
PMC5259869,TCGA
PMC5259869,TCGA
PMC5260078,TCGA
PMC5260078,TCGA
PMC5260078,TCGA
PMC5260113,GSE74465
PMC5260113,GSE74465
PMC5314682,GSE22423
PMC5314682,GSE22423
PMC5314682,GSE22423
PMC5336651,TCGA
PMC5336651,TCGA
PMC5336651,TCGA
PMC5336651,TCGA
PMC5336651,TCGA
PMC5336651,TCGA
PMC5336651,TCGA
PMC5336651,TCGA
PMC5336651,TCGA
PMC5353876,GSE41714
PMC5353876,GSE41714
PMC5353876,GSE9593
PMC5353876,GSE15299
PMC5353876,GSE41714
PMC5353876,GSE9593
PMC5353876,GSE15299
PMC5353876,GSE41714
PMC5353876,GSE15299
PMC5353876,GSE41714
PMC5353876,GSE9593
PMC5353876,GSE15299
PMC5353876,GSE49860
PMC5353859,SRP073484
PMC5353859,SRP073484
PMC5369021,TCGA
PMC5369021,TCGA
PMC5369021,TCGA
PMC5369021,TCGA
PMC5369021,GSE30611
PMC5369021,GSE29079
PMC5369021,GSE54516
PMC5369021,TCGA
PMC5369021,TCGA
PMC5369021,TCGA
PMC5369021,TCGA
PMC5369021,TCGA
PMC5369021,TCGA
PMC5369021,TCGA
PMC5369021,TCGA
PMC5369021,TCGA
PMC5369021,TCGA
PMC5374590,GSE29331
PMC5374590,GSE29331
PMC5374590,GSE29331
PMC5374644,GSE21860
PMC5374644,GSE69125
PMC5374644,GSE25115
PMC5374644,GSE21860
PMC5374644,GSE69125
PMC5374644,GSE25115
PMC5382366,TCGA
